artist id,artist mbid,track id,artist name
ar002ua1187b9a637d,7752a11c-9d8b-4220-ac44-e4a04cc8471d,trmuoze12903cdf721,the bristols
ar003fb1187b994355,1dbd2d7b-64c8-46aa-9f47-ff589096d672,trwdpfr128f93594a6,the feds
ar006821187fb5192b,94fc1228-7032-4fe6-a485-e122e5fbee65,trmzljf128f4269eac,stephen varcoe/choir of king's college_ cambridge/sir david willcocks
ar009211187b989185,9dfe78a6-6d91-454e-9b95-9d7722cbc476,trmguro12903cae2f0,carroll thompson
ar009sz1187b9a73f4,8cd574c0-b9f7-4998-94f4-654dffaecdf2,trgwwfp12903ce7e79,gorodisch
ar00a1n1187fb484eb,7373764f-c642-4393-9492-97b5622c4bce,trmmuwq128f92e88fc,1.000 mexicans
ar00a6h1187fb5402a,312c14d9-7897-4608-944a-c5b1c76ae682,trwneqx12903cb84fb,the meatmen
ar00ap71187b99635f,607d7275-2b92-49e5-a7ee-32f9cc29b076,trwxqxg12903ce91bd,miles davis
ar00b1i1187fb433eb,4a5777b3-f55b-437c-8b23-d9ee7791c7fc,trmztst128e0792e44,eagle-eye cherry
ar00ddv1187b98b2bf,702d022f-afa6-4614-b13d-01ea1cb74e7d,trggvvs128f428ebac,deepack
ar00dg71187b9b7fcb,cbd80a34-d210-49f7-ac50-3bc81868cc50,trmrkvr128f4254367,basslovers united
ar00foz1187fb5c9f3,92337972-f0c5-4ebd-be8c-f6b23d596ae1,trmgbtp128f92fc114,autokratz
ar00fvc1187fb5be3e,ecd6ec3e-18d3-45e3-91a0-06e7beeb5f0a,trmqpbo12903ccbdc9,panda
ar00gvv11c8a415a54,fe314220-53a3-4360-93d1-2e54a5d3b715,trpcvjm128f933b3f6,griminal & lil nasty
ar00ikc1187fb37bd5,b7f34050-a4f3-4991-87bb-dcc612c2d492,trhbnhi128f9322dac,state of shock
ar00im31187b99b83a,4b356f05-bcc2-4544-925b-fd9a1bf708be,trhglag128f429da82,danger mouse & jemini
ar00j9r1187b98d920,41da462e-e441-4bc0-952b-5a66387df5be,trglrof128f932e266,farm fresh
ar00jio1187b9a5a15,5251b5a0-3e3b-4d07-a152-585009575310,trmsbtn12903c9b18a,saigon_ inspectah deck & bekay
ar00joj1187fb3a4b8,1512922e-eba4-43bf-bd3a-3d3acda6e194,trmgmqt128f933b12a,sir scratch
ar00l9v1187fb4353a,59ef054f-9671-4c0a-88ed-ea1f29cef88d,trmvsty128f92e4393,kris menace
ar00lni1187fb444a5,7e836d29-fc2d-4a1f-b8da-566d47c49eed,trmwmen128f934f65f,bruce becvar
ar00m9h1187b9b59ca,5560d4ec-1f1f-4ae5-8010-fc58ad431eef,trwzvkx12903d0582b,batch
ar00mbz1187b9b5db1,ff748426-8873-4725-bdc7-c2b18b510d41,trmrcjh128f92e389e,memphis minnie
ar00mq31187b9acd8f,0c676ed4-ee63-4133-b310-5ec26bd40a33,trmzhgc12903d0cf09,chris carrier
